Id,Age,Job,Sex,Marital,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CallStart,CallEnd,CarInsurance,IncomeGroup
1,32,management,Female,single,0,1218,1,0,telephone,28,jan,2,-1,0,13:45:20,13:46:30,0,3
2,32,blue-collar,Male,married,0,1156,1,0,telephone,26,may,5,-1,0,14:49:03,14:52:08,0,1
3,29,management,Male,single,0,637,1,0,cellular,3,jun,1,119,1,16:30:24,16:36:04,1,1
4,25,student,Female,single,0,373,1,0,cellular,11,may,2,-1,0,12:06:43,12:20:22,1,2
5,30,management,Male,married,0,2694,0,0,cellular,3,jun,1,-1,0,14:35:44,14:38:56,0,1
6,32,technician,Male,single,0,1625,0,0,cellular,22,may,1,109,1,14:58:08,15:11:24,1,1
7,37,admin,Female,single,0,1000,1,0,cellular,17,mar,1,-1,0,13:00:02,13:03:17,1,2
8,35,management,Male,divorced,0,538,1,0,telephone,12,may,4,-1,0,15:39:43,15:40:49,0,1
9,30,admin,Female,married,0,187,1,0,cellular,18,nov,1,-1,0,12:20:56,12:22:42,0,3
10,30,blue-collar,Female,married,0,3,1,1,cellular,12,may,2,-1,0,9:22:20,9:27:46,0,2
11,27,services,Male,single,0,0,0,0,cellular,1,jun,1,-1,0,13:04:28,13:07:29,0,2
12,53,blue-collar,Female,married,1,-462,0,0,cellular,29,jan,1,-1,0,16:45:50,16:53:40,1,3
13,44,technician,Male,married,0,2776,1,0,cellular,27,jan,1,-1,0,16:19:41,16:31:22,1,2
14,38,self-employed,Female,divorced,0,2674,1,0,telephone,19,jun,2,-1,0,10:29:56,10:32:39,0,2
15,25,services,Male,single,0,2022,0,0,cellular,29,jul,8,97,12,14:15:09,14:19:45,1,1
16,61,management,Male,single,0,2,0,0,cellular,12,aug,1,114,3,16:18:48,16:20:59,1,2
17,34,admin,Female,single,0,69,1,0,telephone,6,may,3,362,4,11:48:45,11:50:17,0,1
18,46,management,Female,married,0,7331,0,0,cellular,11,sep,4,95,2,11:23:26,11:34:24,1,3
19,49,blue-collar,Male,married,0,2039,1,0,cellular,6,may,1,169,2,12:42:54,12:50:25,1,2
20,50,blue-collar,Male,married,0,82,0,0,telephone,5,apr,1,-1,0,10:34:08,10:41:44,1,2
21,57,blue-collar,Female,married,0,773,1,1,telephone,18,jun,8,-1,0,9:05:50,9:07:27,0,2
22,80,retired,Male,married,0,8304,0,0,telephone,8,sep,3,91,13,17:37:41,17:47:47,1,3
23,31,management,Female,single,0,0,0,0,cellular,21,aug,2,-1,0,14:28:54,14:32:32,0,3
24,63,retired,Female,married,0,2896,0,0,cellular,1,jul,1,119,2,15:37:19,15:42:23,1,2
25,60,technician,Male,married,0,824,1,0,cellular,9,feb,1,558,7,16:30:52,16:32:59,1,1
26,29,management,Female,married,0,900,0,0,cellular,17,jul,2,-1,0,17:06:47,17:11:22,0,3
27,54,management,Female,married,0,3859,0,1,cellular,20,nov,3,-1,0,10:09:02,10:10:46,0,3
29,34,services,Male,married,0,-62,1,0,telephone,16,jun,3,-1,0,13:50:40,13:52:29,0,1
30,42,blue-collar,Female,married,0,832,0,0,telephone,20,jun,14,-1,0,10:36:52,10:37:05,0,3
31,54,technician,Female,married,0,0,0,0,telephone,30,apr,3,84,3,11:49:24,12:02:10,1,1
32,32,admin,Female,single,0,6981,1,0,cellular,2,jun,1,194,3,10:23:34,10:26:08,0,3
33,57,retired,Male,single,0,842,0,0,cellular,13,aug,3,-1,0,10:56:13,11:00:57,1,2
34,36,management,Female,divorced,0,1057,0,0,cellular,5,feb,2,-1,0,15:36:06,15:42:29,0,1
35,34,blue-collar,Male,single,0,1698,1,0,telephone,27,may,7,-1,0,13:48:54,13:49:33,0,3
36,39,blue-collar,Male,married,0,300,1,0,cellular,14,may,1,-1,0,14:50:44,14:59:10,0,2
37,31,blue-collar,Female,married,0,664,1,1,telephone,21,may,3,-1,0,11:03:37,11:20:04,0,2
38,33,admin,Female,married,0,0,1,0,cellular,30,jul,5,-1,0,15:55:55,15:56:36,0,1
39,41,blue-collar,Male,divorced,0,138,1,0,cellular,18,jul,3,-1,0,13:13:21,13:24:01,1,3
40,35,admin,Female,married,0,216,1,1,cellular,17,nov,3,-1,0,15:33:58,15:35:08,0,1
41,32,management,Female,married,0,3935,1,0,telephone,29,may,2,-1,0,17:09:51,17:12:00,0,1
